date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2010-07-07,Central Bank of Nigeria,circulars,Data Exchange Agreements With at Least Two Licenced Credit Bureaus in Nigeria,,data exchange agreements with at least two licenced credit bureaus in nigeria,BSD/DIR/GEN/CIR/04/014,https://www.cbn.gov.ng/out/2010/circulars/bsd/circular to all banks and ofis on data exchange agreements.pdf,29615,611
2010-07-07,Central Bank of Nigeria,circulars,Disbursement of The Proceeds of Foreign Funds Transfer,,disbursement of the proceeds of foreign funds transfer,BSD/DIR/GEN/FFT/02/089,https://www.cbn.gov.ng/out/2010/circulars/bsd/letter to all banks disbursement of the proceeds of foreign funds transfer.pdf,29084,610
2010-07-07,Central Bank of Nigeria,circulars,"FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 51/2010





",,"Central Bank of Nigeria, Abuja, USD150 million dollars, Foreign Exchange, Financial Markets Department,Director, Auction, CBN, FCT, Auction No 51/2010",FMD/FED/CIR/GEN/01/035/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/auction no 51 20100001.pdf,330672,614
2010-07-07,Central Bank of Nigeria,circulars,Re: Monthly Submission of Credit Portfolio Classification by Banks,,monthly submission of credit portfolio classification by banks,BSD/DIR/GEN/CIR/04/016,https://www.cbn.gov.ng/out/2010/circulars/bsd/circular on loan classification.pdf,162655,613
2010-07-07,Central Bank of Nigeria,circulars,The Need for Banks to Develop and Implement a Risk-Based Pricing Model,,the need for banks to develop and implement a risk-based pricing model,BSD/DIR/GEN/CIR/04/015,https://www.cbn.gov.ng/out/2010/circulars/bsd/circular on the need for banks to develop and implement a risk.pdf,60836,612
2010-07-08,Central Bank of Nigeria,circulars,Prudential Guidelines for Deposit Money Banks,,"new,prudential guidelines for deposit money banks,bsd,cbn",BSD/DIR/GEN/NPG/02/126,https://www.cbn.gov.ng/out/2010/circulars/bsd/letter on new prudential guidelines  june 30 2009.pdf,43695,609
2010-07-09,Central Bank of Nigeria,circulars,GUIDELINES ON NIGERIA DIRECT DEBIT SCHEME,,DIRECT DEBIT SCHEME,BPS/DIR/GEN/CIR/01/025B,https://www.cbn.gov.ng/out/2010/circulars/bspd/guidelines on nigeria direct debit scheme  0.2.pdf,138286,608
2010-07-12,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 52/2010,,"FMD/FEDS/CIR/GEN/01/036/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 52/2010, BID, 12TH JULY, 2010, FX, BIDDING",FMD/FEDS/CIR/GEN/01/036/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/wdas auction 5220100001.pdf,321233,607
2010-07-14,Central Bank of Nigeria,circulars,FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 53/2010,,"FMD/FED/CIR/GEN/01/037/10, FOREIGN EXCHANGE MARKET (WDAS) AUCTION NO. 53/2010, FX, BIDDING, BID, AUCTION, US DOLLAR",FMD/FED/CIR/GEN/01/037/10,https://www.cbn.gov.ng/out/2010/circulars/fmd/auction 5320100001.pdf,328150,606
2010-07-16,Central Bank of Nigeria,circulars,"CBN Scope,Conditions and Minimum Standards for Commercial Banks Regulations",,"CBN Scope,Conditions and Minimum Standards for Commercial Banks Regulations",BSD/DIR/CBG/2010/02,https://www.cbn.gov.ng/out/2010/circulars/bsd/commercial banking licensing regulations 16 july2010.pdf,50630,603
