date,source,document_type,title,url
2023-07-17,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for July, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4347-summary-of-fgn-bond-auction-results-for-july-2023/file
2023-08-14,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for August, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4372-summary-of-fgn-bond-auction-results-for-august-2023/file
2023-09-11,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for September, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4396-summary-of-fgn-bond-auction-results-for-september-2023/file
2023-10-16,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for October, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4436-summary-of-fgn-bond-auction-results-for-october-2023/file
2023-11-13,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for November, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4461-summary-of-auction-results-for-november-2023/file
2023-12-11,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for December, 2023",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4486-summary-of-fgn-bond-auction-results-for-december-2023/file
2024-01-29,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for January, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4531-summary-of-fgn-bond-auction-results-for-january-2024/file
2024-02-21,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for February, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4551-summary-of-fgn-bond-auction-results-for-february-2024/file
2024-03-18,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for March, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4575-summary-of-fgn-bond-auction-results-for-march-2024/file
2024-04-15,Debt Management Office Nigeria,fgn_bond_auction_result,"Summary of FGN Bond Auction Results for April, 2024",https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/4608-summary-of-fgn-bond-auction-results-for-april-2024/file
