date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2008-01-22,Central Bank of Nigeria,press_releases,Speeches & papers presented at the 2nd Int'l Conference on Microfinance & Microentrepreural Award Ceremony which took place on Jan 17 & 18 2008 in Abuja,,"Presentations,Papers,Speakers,SMIES,SMES,MICROFINANCE",NIL,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2008/microfinance presentations.zip,5483 KB,2501
2008-02-04,Central Bank of Nigeria,press_releases,Notice on Canvassing for Deposits by Unlicensed Institutions,,"microfinance bank, special notice, community banks, central bank of nigeria, lagos, abuja, centralbankofnigeria, cenbank, ofid, other financial institutions, minimum capita,l conversion, efcc, economic and financial crimes commission, debt, indebtedness, ",OFID-04-2008,https://www.cbn.gov.ng/out/publications/guidelines/ofid/2008/ofid-04-2008.pdf,38 KB,2490
2008-04-08,Central Bank of Nigeria,press_releases,Decision of The Federal High Court in the case of Stockland Nig Ltd. and 2 others vs CBN & 5 others,,"Central Bank;Nigeria; court; stockland, SGBN; CBN;Licence",CAD/Pr/8-4/08,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2008/pr8-4-08.pdf,15 KB,2460
2008-06-20,Central Bank of Nigeria,press_releases,Invitation for Bids for the Provisison of Currency Processing and Distribution,,"Invitation,Bids,Currency, Processing,Distribution, Central Bank, Nigeria, June,2008",CAD/Pr20-6/2008,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2008/pr20-6-08.pdf,32752,2447
2008-07-16,Central Bank of Nigeria,press_releases,Presentation to the Press on the Outsourcing of Currency Processing and Distribution,,"Presentation, Press,Outsourcing,Currency Processing,  Distribution",CAD/Pr16-7/2008,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2008/pr16-7-08.pdf,199193,2438
2008-07-16,Central Bank of Nigeria,press_releases,Presentation to the Press on the Outsourcing of Currency Processing and Distribution in the Central Bank of Nigeria,"The Central Bank of Nigeria (CBN), as part of its restructuring and re-engineering programme aimed at refocusing the organization to its mandate, wishes to outsource its non-core functions of currency processing and distribution to the private sector, in line with best practice. In view of this the Director Currency and Branch Operations, Mr Ben Chii Onyido held a press Conference to sensitize Journalists. <a href=""http://www.cenbank.org/out/publications/pressrelease/gov/2008/pr16-7-08.pdf"">""Click here for details</a><br>
<br>
<br>
<b><a href=""http://www.cenbank.org/jobs/recruitment.asp"">CBN is recruiting</a></b><br>
The Central Bank of Nigeria (CBN), Nigeria's Apex Financial institution is in the process of recruiting various cadres of staff...<br>
<br>
<a href=""http://www.cenbank.org/jobs/recruitment.asp"">Click here for details</a>",,,http://www.cenbank.org/out/publications/pressrelease/gov/2008/pr16-7-08.pdf,,209
2008-07-24,Central Bank of Nigeria,press_releases,"Press Briefing By Professor Chukwuma C. Soludo, CFR, Governor Of The Central Bank Of Nigeria In Response To Recent Developments In The Banking Industry","In consideration of the recent developments and performance of the financial system, and a careful analysis of the medium term outlook, the CBN, at the end of the Financial System Surveillance Committee (FSSC) Meeting held today, July 23, 2008, has decided as follows: <a href=""http://www.cenbank.org/Out/publications/pressRelease/GOV/2008/FSSC.pdf"">Click here for details</a><br>
<br>
<br>
<b><a href=""http://www.cenbank.org/jobs/recruitment.asp"">CBN is recruiting</a></b><br>
The Central Bank of Nigeria (CBN), Nigeria's Apex Financial institution is in the process of recruiting various cadres of staff...<br>
<br>
<a href=""http://www.cenbank.org/jobs/recruitment.asp"">Click here for details</a><br>",,,http://www.cenbank.org/Out/publications/pressRelease/GOV/2008/FSSC.pdf,,207
2008-07-28,Central Bank of Nigeria,press_releases,"Press Briefing by Prof. Chukwuma C. Soludo, CFR, in Response to Recent Developments in the Banking Industry","Lecture at Nnamdi Azikiwe University, Awka Nnamdi Azikiwe University, Awka",,,https://www.cbn.gov.ng/out/speeches/2008/govadd28-7-08.pdf ,9571,6380
2008-10-09,Central Bank of Nigeria,press_releases,Invitation for the Prequalification of Contractors for the Execution of Capital Development Projects Under 2008 Budget.,,"Contractors, Capital projects, Procurement, ",CAD/Pr17-10/2008,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2008/prequalification.pdf,1234,2407
2009-02-11,Central Bank of Nigeria,press_releases,"Invitation for the Prequalificationand Tender for the Production and Airing of Television Programme ""You and the Economy""",,"Contractors, Capital projects, Procurement, Tender ",CAD/Pr17-11/2009,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2009/uandetender.pdf,14,2366
